Error for realdata\fishcatch.csv : 0.9255428410267544  Time : 0:00:07.838919 Params  : {'epochs': 500, 'dropout': 0.35, 'theta': 10}
Error for realdata\fishcatch.csv : 0.8999738243757618  Time : 0:00:08.007655 Params  : {'epochs': 500, 'dropout': 0.5, 'theta': 10}
Error for realdata\fishcatch.csv : 0.9279889808554884  Time : 0:00:15.522985 Params  : {'epochs': 1000, 'dropout': 0.35, 'theta': 5}
Error for realdata\fishcatch.csv : 0.8452473166454253  Time : 0:00:15.482043 Params  : {'epochs': 1000, 'dropout': 0.5, 'theta': 5}
Error for realdata\fishcatch.csv : 0.9122140911381494  Time : 0:00:15.768753 Params  : {'epochs': 1000, 'dropout': 0.35, 'theta': 7}
Error for realdata\fishcatch.csv : 0.9197263946442529  Time : 0:00:15.814130 Params  : {'epochs': 1000, 'dropout': 0.5, 'theta': 7}
Error for realdata\fishcatch.csv : 0.920535476920983  Time : 0:00:16.102202 Params  : {'epochs': 1000, 'dropout': 0.35, 'theta': 10}
Error for realdata\fishcatch.csv : 0.9147925558146012  Time : 0:00:15.857022 Params  : {'epochs': 1000, 'dropout': 0.5, 'theta': 10}
Error for realdata\heart-h.csv : 0.7568896237921006  Time : 0:00:16.820748 Params  : {'epochs': 500, 'dropout': 0.35, 'theta': 5}
Error for realdata\heart-h.csv : 0.7640486635827193  Time : 0:00:17.320746 Params  : {'epochs': 500, 'dropout': 0.5, 'theta': 5}
Error for realdata\heart-h.csv : 0.7656240326580883  Time : 0:00:17.194247 Params  : {'epochs': 500, 'dropout': 0.35, 'theta': 7}
Error for realdata\heart-h.csv : 0.7439120305219376  Time : 0:00:17.328122 Params  : {'epochs': 500, 'dropout': 0.5, 'theta': 7}
Error for realdata\heart-h.csv : 0.7711314141654698  Time : 0:00:17.204180 Params  : {'epochs': 500, 'dropout': 0.35, 'theta': 10}
Error for realdata\heart-h.csv : 0.7511844955869723  Time : 0:00:16.499949 Params  : {'epochs': 500, 'dropout': 0.5, 'theta': 10}
